Date,Temperature (°C),Humidity (%),NO2 (80 µg/m³),SO2 (120 µg/m³),PM2.5 (35 µg/m³)
1/9/2022,30.83,62.67,5.9,9.23,20.67
2/9/2022,30.5,65,4.1,10.6,19.6
3/9/2022,30,67,3.67,11.2,18.6
4/9/2022,29.63,62,4.7,8.4,18.9
5/9/2022,26.13,70,3.6,7.17,15.73
6/9/2022,28.07,68.33,5.3,8,18.17
7/9/2022,29.37,66.67,6.6,8.23,21.1
8/9/2022,29.7,66.7,3.62,15.96,22.73
9/9/2022,29,73,3.73,16.4,21
10/9/2022,28,74,3.5,14.2,18.3
11/9/2022,27.33,76.33,3.38,11.47,11.93
12/9/2022,27.7,74,3.42,12.36,18.2
13-09-2022,28,66.7,3.36,13.43,22.06
14-09-2022,28.7,66.33,3.62,13.16,21.98
15-09-2022,28.7,67.7,2.83,13.03,21.3
